time,open,high,low,close,Volume
2020/12/9,104.14,104.41,104.05,104.19,206690
2020/12/10,104.19,104.58,104.14,104.22,236500
2020/12/11,104.22,104.27,103.82,103.96,215805
2020/12/14,103.98,104.1,103.51,104.02,210604
2020/12/15,104.02,104.15,103.61,103.65,169971
2020/12/16,103.65,103.92,103.26,103.43,192725
2020/12/17,103.43,103.56,102.87,103.06,199107
2020/12/18,103.06,103.59,103.06,103.24,198788
2020/12/21,103.49,103.89,103.25,103.29,278823
2020/12/22,103.29,103.73,103.28,103.62,207639
2020/12/23,103.62,103.65,103.36,103.52,200610
2020/12/24,103.52,103.77,103.49,103.67,112251
2020/12/28,103.52,103.9,103.4,103.76,156237
2020/12/29,103.76,103.82,103.46,103.53,148850
2020/12/30,103.53,103.58,102.96,103.16,175594
2020/12/31,103.16,103.31,103,103.25,138192
2021/1/4,103.06,103.32,102.71,103.11,231985
2021/1/5,103.11,103.19,102.61,102.71,203974
2021/1/6,102.71,103.44,102.59,103.01,297201
2021/1/7,103.01,103.96,102.95,103.77,239454
2021/1/8,103.77,104.09,103.6,103.95,272942
2021/1/11,103.85,104.4,103.83,104.24,187884
2021/1/12,104.24,104.33,103.72,103.75,198540
2021/1/13,103.75,104,103.52,103.87,178669
2021/1/14,103.87,104.2,103.56,103.8,219775
2021/1/15,103.8,103.91,103.62,103.82,166598
2021/1/18,103.79,103.93,103.64,103.68,170151
2021/1/19,103.68,104.09,103.65,103.9,168569
2021/1/20,103.9,103.93,103.45,103.53,160179
2021/1/21,103.53,103.67,103.33,103.48,184426
2021/1/22,103.48,103.89,103.47,103.7,164933
2021/1/25,103.76,103.94,103.67,103.76,147190
2021/1/26,103.76,103.83,103.56,103.61,145333
2021/1/27,103.61,104.2,103.58,104.09,167127
2021/1/28,104.09,104.46,104.05,104.19,173453
2021/1/29,104.19,104.94,104.17,104.67,196148
2021/2/1,104.77,105.03,104.61,104.92,143030
2021/2/2,104.92,105.17,104.83,104.95,148042
2021/2/3,104.95,105.11,104.92,105.03,122010
2021/2/4,105.03,105.56,104.97,105.5,141050
2021/2/5,105.5,105.77,105.31,105.32,163935
2021/2/8,105.31,105.67,105.15,105.21,145857
2021/2/9,105.21,105.26,104.5,104.56,179795
2021/2/10,104.56,104.84,104.41,104.58,154423
2021/2/11,104.58,104.81,104.55,104.74,109564
