time,open,high,low,close,Volume
2016/1/11,117.19,118.38,116.51,116.95,1897927
2016/1/18,116.66,118.88,115.97,118.74,1994875
2016/1/25,118.61,121.69,117.66,121.12,1836120
2016/2/1,121.32,121.49,116.29,116.8,2008836
2016/2/8,116.78,117.53,110.97,113.17,3312108
2016/2/15,113.38,114.88,112.3,112.54,1809494
2016/2/22,112.55,113.99,111.04,113.96,1745405
2016/2/29,113.94,114.56,112.16,113.77,1612832
2016/3/7,113.9,114.44,112.22,113.79,1625096
2016/3/14,113.94,114.14,110.67,111.54,1425077
2016/3/21,111.52,113.32,111.22,113.03,966736
2016/3/28,113.16,113.8,111.58,111.6,1049770
2016/4/4,111.59,111.8,107.67,108.05,1533599
2016/4/11,107.93,109.73,107.63,108.74,1158340
2016/4/18,108.18,111.81,107.84,111.79,1239560
2016/4/25,111.85,111.88,106.28,106.28,1547600
2016/5/2,106.22,107.5,105.55,107.1,1338828
2016/5/9,107.05,109.56,107.04,108.6,1253385
2016/5/16,108.59,110.59,108.46,110.1,1165268
2016/5/23,110.1,110.45,109.11,110.19,939631
2016/5/30,110.41,111.45,106.51,106.54,1449193
2016/6/6,106.56,107.9,106.25,106.92,1646493
2016/6/13,106.8,106.85,103.55,104.08,2188355
2016/6/20,104.71,106.81,98.79,102.2,2129080
2016/6/27,101.52,103.39,101.4,102.46,1632089
2016/7/4,102.59,102.8,99.98,100.57,1415243
2016/7/11,100.6,106.32,100.52,104.8,2043725
2016/7/18,105.34,107.49,105.27,106.01,1670272
2016/7/25,106.12,106.72,101.97,102.01,1371860
2016/8/1,102.28,102.83,100.68,101.79,844604
2016/8/8,101.97,102.66,100.83,101.27,628796
2016/8/15,101.11,101.45,99.54,100.17,934661
2016/8/22,100.77,101.94,99.94,101.76,824426
2016/8/29,102.05,104.32,101.75,103.87,912481
2016/9/5,104.08,104.14,101.2,102.64,973349
2016/9/12,102.55,103.36,101.42,102.24,1086226
2016/9/19,102.14,102.78,100.1,100.99,1051271
2016/9/26,101.03,101.84,100.08,101.28,1007137
2016/10/3,101.2,104.16,101.18,102.9,1011441
2016/10/10,103.25,104.64,102.81,104.18,1002734
2016/10/17,104.35,104.37,103.17,103.82,971615
2016/10/24,103.81,105.53,103.72,104.67,1121166
2016/10/31,104.4,105.23,102.55,103.1,1410716
2016/11/7,104.1,106.95,101.19,106.59,2284718
2016/11/14,106.88,110.95,106.73,110.86,1990934
2016/11/21,110.9,113.9,110.27,113.16,1690621
2016/11/28,112.75,114.82,111.36,113.49,2033758
2016/12/5,113.27,115.37,112.87,115.16,1331415
2016/12/12,115.41,118.66,114.74,117.91,1766979
2016/12/19,117.95,118.24,116.55,117.24,1383151
2016/12/26,117.24,117.81,116.04,116.98,1227002
2017/1/2,116.98,118.61,115.07,116.9,1879350
2017/1/9,117.01,117.53,113.76,114.43,2466474
2017/1/16,114.32,115.62,112.57,114.57,2169104
2017/1/23,114.25,115.38,112.52,115.07,1890449
2017/1/30,114.74,114.95,112.05,112.55,1981815
2017/2/6,112.43,113.86,111.59,113.22,1295029
2017/2/13,113.55,114.96,112.62,112.9,2049197
2017/2/20,112.86,113.78,111.93,112.14,1581280
2017/2/27,112.11,114.75,111.69,114.02,1819447
2017/3/6,113.86,115.5,113.56,114.78,1531611
2017/3/13,114.72,115.19,112.56,112.68,1619379
2017/3/20,112.66,112.9,110.61,111.31,2022456
2017/3/27,110.86,112.2,110.11,111.36,1661536
2017/4/3,111.41,111.59,110.09,111.05,1916227
2017/4/10,111.03,111.58,108.54,108.56,1495986
2017/4/17,108.69,109.49,108.13,108.95,1433670
2017/4/24,110.52,111.78,109.59,111.51,1600608
2017/5/1,111.24,113.05,111.21,112.64,1175874
2017/5/8,112.93,114.37,112.39,113.33,1276069
2017/5/15,113.12,113.85,110.23,111.26,1951575
2017/5/22,110.98,112.13,110.86,111.31,1477535
2017/5/29,111.18,111.71,110.33,110.44,1316132
2017/6/5,110.35,110.81,109.11,110.32,1588990
2017/6/12,110.31,111.42,108.8,110.86,1623908
2017/6/19,110.88,111.79,110.7,111.29,1347012
2017/6/26,111.19,112.93,111.14,112.38,1732997
2017/7/3,112.1,114.18,112.08,113.9,1528736
2017/7/10,113.86,114.5,112.25,112.52,1502794
2017/7/17,112.45,112.87,111.01,111.12,1568825
2017/7/24,111.11,112.19,110.55,110.7,1892022
2017/7/31,110.65,111.05,109.84,110.68,1867118
2017/8/7,110.7,110.92,108.71,109.17,1623412
2017/8/14,109.15,110.95,108.6,109.2,1834718
2017/8/21,109.31,109.85,108.64,109.32,1387323
2017/8/28,109.15,110.67,108.27,110.23,1553067
2017/9/4,109.5,109.93,107.32,107.84,1616082
2017/9/11,108.17,111.33,108.13,110.83,1508216
2017/9/18,111.05,112.72,110.99,111.99,1406910
2017/9/25,112.15,113.26,111.47,112.46,1497653
2017/10/2,112.65,113.44,112.32,112.6,1182210
2017/10/9,112.56,112.83,111.69,111.83,1008682
2017/10/16,111.75,113.57,111.65,113.51,1166887
2017/10/23,113.86,114.45,113.25,113.64,1489567
2017/10/30,113.72,114.43,112.96,114.04,1260620
2017/11/6,114,114.74,113.09,113.5,1255946
2017/11/13,113.45,113.91,111.94,112.08,1259768
2017/11/20,112.12,112.72,111.07,111.5,1102226
2017/11/27,111.49,112.88,110.84,112.16,1630537
2017/12/4,112.8,113.59,111.99,113.45,1357853
2017/12/11,113.52,113.75,112.03,112.58,1118131
2017/12/18,112.72,113.64,112.31,113.27,951274
2017/12/25,113.27,113.38,112.47,112.65,718590
2018/1/1,112.65,113.3,112.06,113.02,752949
2018/1/8,113.13,113.39,110.91,111,1218844
2018/1/15,111.08,111.48,110.19,110.81,1353934
2018/1/22,110.55,111.22,108.28,108.59,1652742
2018/1/29,108.69,110.48,108.41,110.15,1738376
2018/2/5,110.18,110.29,108.05,108.77,2884186
2018/2/12,108.84,108.89,105.55,106.27,1968950
2018/2/19,106.33,107.91,106.1,106.86,1318527
2018/2/26,107.19,107.68,105.25,105.71,1473524
2018/3/5,105.44,107.05,105.35,106.81,1343518
2018/3/12,106.63,107.29,105.6,105.95,1371570
2018/3/19,105.91,106.64,104.64,104.71,1884652
2018/3/26,104.64,107.01,104.63,106.26,1563439
2018/4/2,106.26,107.49,105.66,106.92,1902025
2018/4/9,106.94,107.78,106.62,107.34,1864853
2018/4/16,107.34,107.86,106.88,107.62,1556784
2018/4/23,107.77,109.54,107.66,109.02,1841200
2018/4/30,109.06,110.04,108.65,109.06,1705547
2018/5/7,109.11,110.02,108.76,109.36,1674292
2018/5/14,109.38,111.08,109.21,110.74,1691217
2018/5/21,110.87,111.4,108.95,109.36,1933607
2018/5/28,109.75,109.83,108.11,109.49,2189676
2018/6/4,109.45,110.27,109.2,109.51,1624547
2018/6/11,109.28,110.9,109.28,110.64,1430398
2018/6/18,110.66,110.76,109.55,109.98,1162235
2018/6/25,109.84,110.94,109.37,110.67,1426032
2018/7/2,110.65,111.14,110.28,110.45,1463644
2018/7/9,110.41,112.8,110.35,112.33,1390610
2018/7/16,112.2,113.18,111.38,111.42,1448119
2018/7/23,111.38,111.54,110.59,110.97,1425293
2018/7/30,110.93,112.15,110.73,111.22,1356396
2018/8/6,111.22,111.53,110.52,110.82,1049881
2018/8/13,110.45,111.43,110.11,110.46,1340298
2018/8/20,110.59,111.49,109.77,111.22,1049021
2018/8/27,111.31,111.83,110.69,111.05,1020453
2018/9/3,111.09,111.76,110.38,111.04,1143578
2018/9/10,111.04,112.17,110.85,112.05,893979
2018/9/17,112.03,112.87,111.66,112.55,993335
2018/9/24,112.4,113.71,112.4,113.68,916489
2018/10/1,113.71,114.55,113.52,113.7,1069272
2018/10/8,113.77,113.94,111.83,112.21,1775775
2018/10/15,112.14,112.73,111.62,112.51,1593222
2018/10/22,112.59,112.89,111.38,111.87,2238517
2018/10/29,111.86,113.39,111.78,113.19,1818413
2018/11/5,113.15,114.09,112.95,113.8,1305621
2018/11/12,113.77,114.23,112.64,112.82,1590685
2018/11/19,112.78,113.23,112.3,112.95,1348660
2018/11/26,112.9,114.04,112.88,113.45,1113286
2018/12/3,113.65,113.82,112.23,112.69,1422491
2018/12/10,112.6,113.71,112.24,113.38,1500850
2018/12/17,113.34,113.52,110.81,111.2,1894526
2018/12/24,110.93,111.41,110.14,110.25,1622646
2018/12/31,110.33,110.47,104.66,108.5,1654686
2019/1/7,108.5,109.09,107.77,108.55,1592994
2019/1/14,108.51,109.89,107.99,109.77,1371078
2019/1/21,109.7,110,109.14,109.54,1193748
2019/1/28,109.54,109.74,108.5,109.53,1227767
2019/2/4,109.5,110.16,109.43,109.73,1057895
2019/2/11,109.73,111.13,109.73,110.46,1115560
2019/2/18,110.45,110.95,110.44,110.64,1020994
2019/2/25,110.65,112.08,110.36,111.9,1011165
2019/3/4,111.85,112.14,110.75,111.15,992540
2019/3/11,111,111.9,110.88,111.45,936014
2019/3/18,111.45,111.69,109.74,109.9,1082521
2019/3/25,109.9,110.95,109.7,110.85,1448367
2019/4/1,111.02,111.82,110.8,111.7,959628
2019/4/8,111.66,112.1,110.84,112,929882
2019/4/15,111.95,112.17,111.77,111.92,984589
2019/4/22,111.86,112.4,111.36,111.54,943610
2019/4/29,111.54,111.9,111.05,111.08,822921
2019/5/6,110.6,110.96,109.47,109.94,1532495
2019/5/13,109.75,110.19,109.02,110.06,1335379
2019/5/20,110.1,110.67,109.27,109.28,1158476
2019/5/27,109.33,109.93,108.28,108.28,1147363
2019/6/3,108.28,108.62,107.81,108.16,1334931
2019/6/10,108.47,108.8,108.16,108.56,955505
2019/6/17,108.48,108.72,107.05,107.31,1285249
2019/6/24,107.3,108.16,106.78,107.91,1193117
2019/7/1,108.18,108.64,107.53,108.46,941182
2019/7/8,108.41,108.99,107.8,107.89,883838
2019/7/15,107.96,108.38,107.21,107.69,1032655
2019/7/22,107.72,108.83,107.7,108.63,866107
2019/7/29,108.66,109.32,106.51,106.57,1375738
2019/8/5,106.58,107.09,105.27,105.68,2020337
2019/8/12,105.55,106.98,105.05,106.34,1713064
2019/8/19,106.25,106.73,105.25,105.35,1123296
2019/8/26,104.97,106.68,104.45,106.25,1578462
2019/9/2,106.07,107.23,105.74,106.9,1192683
2019/9/9,106.81,108.26,106.76,108.06,1201293
2019/9/16,107.46,108.48,107.45,107.54,1214792
2019/9/23,107.72,108.18,106.96,107.93,1229719
2019/9/30,107.96,108.47,106.48,106.9,1256074
2019/10/7,106.65,108.63,106.64,108.44,1322244
2019/10/14,108.32,108.94,108.03,108.38,1049188
2019/10/21,108.41,108.77,108.25,108.66,871320
2019/10/28,108.73,109.29,107.89,108.16,867903
2019/11/4,108.22,109.49,108.18,109.21,922527
2019/11/11,109.19,109.3,108.24,108.74,853808
2019/11/18,108.77,109.07,108.28,108.63,1027049
2019/11/25,108.67,109.67,108.63,109.49,689147
2019/12/2,109.52,109.73,108.43,108.56,912846
2019/12/9,108.61,109.71,108.43,109.32,1164560
2019/12/16,109.28,109.69,109.18,109.47,579937
2019/12/23,109.41,109.68,109.33,109.44,461652
2019/12/30,109.43,109.48,107.84,108.12,621581
2020/1/6,107.84,109.69,107.65,109.48,1193559
2020/1/13,109.5,110.29,109.5,110.15,727387
2020/1/20,110.07,110.22,109.17,109.25,837316
2020/1/27,108.89,109.27,108.31,108.35,1297975
2020/2/3,108.47,110.02,108.31,109.76,1182659
2020/2/10,109.68,110.13,109.56,109.77,926308
2020/2/17,109.84,112.23,109.66,111.6,1050344
2020/2/24,111.27,111.68,107.51,107.95,2861972
2020/3/2,107.39,108.58,104.99,105.34,3267890
2020/3/9,104.19,108.5,101.18,107.96,6083724
2020/3/16,107.05,111.5,105.15,110.75,8425046
2020/3/23,110.76,111.72,107.75,107.91,5527063
2020/3/30,107.69,108.73,106.92,108.38,2760933
2020/4/6,108.36,109.38,108.21,108.36,1592250
2020/4/13,108.4,108.53,106.93,107.52,1496181
2020/4/20,107.52,108.05,107.28,107.44,1262206
2020/4/27,107.53,107.62,106.36,106.88,1282705
2020/5/4,106.88,107.07,105.99,106.61,1005586
2020/5/11,106.5,107.77,106.5,107.08,1083980
2020/5/18,107.07,108.09,107.06,107.6,955222
2020/5/25,107.6,107.95,107.08,107.77,1156142
2020/6/1,107.66,109.85,107.38,109.56,1395390
2020/6/8,109.6,109.69,106.57,107.36,1654134
2020/6/15,107.3,107.64,106.67,106.84,1358646
2020/6/22,106.77,107.45,106.07,107.19,1203798
2020/6/29,107.09,108.17,107.04,107.49,908524
2020/7/6,107.45,107.79,106.64,106.89,722182
2020/7/13,106.88,107.44,106.67,107.01,802392
2020/7/20,107.01,107.55,105.68,106.08,889225
2020/7/27,106.01,106.11,104.19,105.85,1339597
2020/8/3,105.75,106.47,105.3,105.9,1327433
2020/8/10,105.85,107.05,105.71,106.54,1033620
2020/8/17,106.54,106.65,105.1,105.76,1086044
2020/8/24,105.77,106.95,105.2,105.34,1245576
2020/8/31,105.45,106.55,105.29,106.21,1131871
2020/9/7,106.24,106.39,105.79,106.14,835296
